Allocate 2064 bytes at 0x573713628490, line = 68, function = main, file = Main.cpp
Allocate 288 bytes at 0x57371362beb8, line = 211, function = resize, file = Graph.h
Allocate 96 bytes at 0x57371362bfe8, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c058, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c098, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c0d8, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c118, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c158, line = 151, function = read, file = Graph.cpp
Allocate 24 bytes at 0x57371362c190, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c1b8, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362c1f8, line = 151, function = read, file = Graph.cpp
Allocate 24 bytes at 0x57371362c230, line = 151, function = read, file = Graph.cpp
Allocate 24 bytes at 0x57371362c250, line = 151, function = read, file = Graph.cpp
Allocate 48 bytes at 0x57371362a2b0, line = 57, function = paths_count, file = Graph.cpp
Deallocate 48 bytes at 0x57371362a2b0, line = 67, function = paths_count, file = Graph.cpp
Allocate 48 bytes at 0x57371362a2b0, line = 57, function = paths_count, file = Graph.cpp
Deallocate 48 bytes at 0x57371362a2b0, line = 67, function = paths_count, file = Graph.cpp
Allocate 48 bytes at 0x57371362a2b0, line = 270, function = shortest_path, file = Graph.cpp
Allocate 48 bytes at 0x57371362a2f0, line = 271, function = shortest_path, file = Graph.cpp
Allocate 12 bytes at 0x57371362a330, line = 272, function = shortest_path, file = Graph.cpp
Allocate 40 bytes at 0x57371362a350, line = 85, function = allocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a350, line = 88, function = deallocate, file = Graph.h
Allocate 40 bytes at 0x57371362a350, line = 85, function = allocate, file = Graph.h
Allocate 40 bytes at 0x57371362a380, line = 85, function = allocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a350, line = 88, function = deallocate, file = Graph.h
Allocate 40 bytes at 0x57371362a350, line = 85, function = allocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a380, line = 88, function = deallocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a350, line = 88, function = deallocate, file = Graph.h
Allocate 40 bytes at 0x57371362a350, line = 85, function = allocate, file = Graph.h
Allocate 40 bytes at 0x57371362a380, line = 85, function = allocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a380, line = 88, function = deallocate, file = Graph.h
Allocate 40 bytes at 0x57371362a380, line = 85, function = allocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a350, line = 88, function = deallocate, file = Graph.h
Deallocate 40 bytes at 0x57371362a380, line = 88, function = deallocate, file = Graph.h
Allocate 96 bytes at 0x57371362a3b8, line = 323, function = shortest_path, file = Graph.cpp
